age,room_service,food_court,shopping_mall,spa,vr_deck,name,earth,europa,mars,unknown,cryo_sleep_false,cryo_sleep_true,cryo_sleep_unknown,num,deck_a,deck_b,deck_c,deck_d,deck_e,deck_f,deck_g,deck_t,deck_unknown,side_p,side_s,side_unknown,destination_55_cancri_e,destination_pso_j318_5_22,destination_trappist_1_e,destination_unknown,vip_false,vip_true,transported_false,transported_true
39.0,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
24.0,109.0,9.0,25.0,549.0,44.0,Juanna Vines,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
58.0,43.0,3576.0,0.0,6715.0,49.0,Altark Susent,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
33.0,0.0,1283.0,371.0,3329.0,193.0,Solam Susent,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
16.0,303.0,70.0,151.0,565.0,2.0,Willy Santantines,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
44.0,0.0,483.0,0.0,291.0,0.0,Sandie Hinetthews,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1
26.0,42.0,1539.0,3.0,0.0,0.0,Billex Jacostaffey,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
28.0,0.0,0.0,0.0,0.0,,Candra Jacostaffey,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
35.0,0.0,785.0,17.0,216.0,0.0,Andona Beston,1,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
14.0,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
34.0,0.0,0.0,,0.0,0.0,Altardr Flatic,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
45.0,39.0,7295.0,589.0,110.0,124.0,Wezena Flatic,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
32.0,73.0,0.0,1123.0,0.0,113.0,Berers Barne,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
48.0,719.0,1.0,65.0,0.0,24.0,Reney Baketton,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
